K,K6,Title,Forces,Key,Date,Genre,Notes
361,370a,"Serenade(""No.10"" or ""Gran partita"")",2ob 2cl 2bsthn 2bn cbn 4hn,B♭major,1781,Chamber,
—,370b,Horn Concerto,hn orch,E♭major,1781,Orchestral,incomplete
371,371,Rondo,hn orch,E♭major,1781,Orchestral,incomplete
372,372,Allegro,vn pf,B♭major,1781,Chamber,incomplete
400,372a,Allegro,pf,B♭major,1782,Keyboard,incomplete
373,373,Rondo,vn orch,C major,1781,Orchestral,
379,373a,"Violin Sonata(""No.27"")",vn pf,G major,1781,Chamber,
374,374,"A questo seno deh vieni(""Or che il cielo"")",v orch,E♭major,1781,Vocal,
359,374a,"Variations (12) on ""La bergère Célimene""",vn pf,G major,1781,Chamber,
360,374b,"Variations (6) on ""Hélas, j'ai perdu mon amant""",vn pf,G major,1781,Chamber,
352,374c,"Variations (8) on ""Dieu d'amour""",pf,F major,1781,Keyboard,
376,374d,"Violin Sonata(""No.24"")",vn pf,F major,1781,Chamber,
377,374e,"Violin Sonata(""No.25"")",vn pf,F major,1781,Chamber,
380,374f,"Violin Sonata(""No.28"")",vn pf,E♭major,1781,Chamber,
Anh.46,374g,Andantinos,vc pf,B♭major,1782–83,Chamber,incomplete
375,375,"Serenade(""No.11"")",orch,E♭major,"1781, 1782",Orchestral,
448,375a,Piano Sonata,2pf,D major,1781,Keyboard,
Anh.42,375b,Sonata Movement for Two Pianos,2pf,B♭major,1782,Keyboard,incomplete
Anh.43,375c,Piano Sonata,2pf,D major,1782,Keyboard,incomplete
Anh.45,375d,Fugue,2pf,G major,1785–86,Keyboard,incomplete
401,375e,Fugue,pf4h,G minor,1773?,Keyboard,incomplete
153,375f,Fugue,pf,E♭major,1782,Keyboard,incomplete
Anh.41,375g,Fugue,pf,G major,1777,Keyboard,incomplete
—,375h,Fugue,pf,F major,1782/83,Keyboard,incomplete
382,382,Rondo,pf orch,D major,1782,Orchestral,
229,382a,Canon,3vv,C minor,1782,Vocal,
230,382b,Canon,2vv,C minor,1782,Vocal,
231,382c,"Canon(""Leck mich im Arsch"")",6vv,B♭major,1782,Vocal,
233,382d,"Canon(""Leck mir den Arsch fein recht schön sauber"")",3vv,B♭major,1782,Vocal,
234,382e,"Canon(""Bei der Hitz im Sommer ess ich"")",3vv,G major,1782,Vocal,
347,382f,Canon,6vv,D major,1784–85,Vocal,
348,382g,"Canon(""V'amo di core teneramente"")",12vv,G major,1783,Vocal,
119,382h,Der Liebe himmlisches Gefühl,v orch,A major,1784?,Vocal,
383,383,"Nehmt meinen Dank, ihr holden Gönner!",v orch,,1782,Vocal,
394,383a,Prelude and Fugue,pf,C major,1782,Keyboard,
Anh.33 & 40,383b,Fugue,pf,F major,1787–89,Keyboard,incomplete
Anh.32,383C,Fantasia,pf,F minor,1790,Keyboard,incomplete
Anh.38,383c,Theme and Variations,org,C major,1783?,Keyboard,incomplete
408/1,383e,March,orch,C major,1782,Orchestral,
408/3,383F,March,orch,C major,1782,Orchestral,
409,383f,Minuet,orch,C major,1782,Orchestral,
440,383h,"In te spero, o sposo amato",v orch,C major,1782,Vocal,incomplete
384,384,Die Entführung aus dem Serail,vv ch orch,,1782,Stage,
389,384A,Welch ängstliches Beben,2vv orch,E♭major,1781–82,Vocal,
388,384a,"Serenade(""No.12"" or ""Nacht musique"")",2ob 2cl 2bn 2hn,C minor,1782,Chamber,
—,384B,Andante,2ob 2cl 2bn 2hn,B♭major,1782?,Chamber,incomplete
—,384b,March,2ob 2cl 2bn 2hn,B♭major,1782?,Chamber,incomplete
385,385,"Symphony No.35(""Haffner"")",orch,D major,1782,Orchestral,
408/2,385a,March,orch,D major,1782,Orchestral,
393,385b,Solfeggios (5),v,,1782,Vocal,
403,385c,"Violin Sonata(""No.30"")",vn pf,C major,1784,Chamber,incomplete
404,385d,"Violin Sonata(""No.31"")",vn pf,C major,1785–86?,Chamber,incomplete
402,385e,"Violin Sonata(""No.29"")",vn pf,A major,1781–82?,Chamber,incomplete
396,385f,Fantasia,vn pf,C minor,1782,Chamber,incomplete
397,385g,"Fantasia(""No.3"")",pf,D minor,1782,Keyboard,incomplete
Anh.34,385h,Adagio,pf,D minor,1786?,Keyboard,incomplete
399,385i,Suite,pf,C major,1782,Keyboard,incomplete
154,385k,Fugue,pf,G minor,1782,Keyboard,incomplete
414,385p,Piano Concerto No.12,pf orch,A major,1782,Orchestral,
386,386,Rondo,pf orch,A major,1782,Orchestral,
412/514,386b,Horn Concerto,hn orch,D major,1791,Orchestral,
407,386c,Horn Quintet,hn vn 2va vc,E♭major,1782,Chamber,
Anh.25,386d,"Denis' Bardengesang auf Gibraltar(""O Calpe! dir donnerts am Fuße"")",v pf,D major,1782,Vocal,incomplete
387,387,String Quartet No.14,2vn va vc,G major,1782,Chamber,
413,387a,Piano Concerto No.11,pf orch,F major,1783,Orchestral,
415,387b,Piano Concerto No.13,pf orch,C major,1783,Orchestral,
—,404a,Fugues for 3 Voices(6),vn va bc,,1782,Chamber,based on works byJohann Sebastian BachandWilhelm Friedemann Bach
443,404b,Fugue,vn va vc,G major,1782,Chamber,incomplete
405,405,Fugues for 4 Voices (5),2vn va vc,,1782,Chamber,based on works byJohann Sebastian Bach
416,416,"Mia speranza adorata(""Ah, non sai qual pena"")",v orch,B♭major,1783,Vocal,
435,416b,Müsst' ich auch durch tausend Drachen,v orch,D major,1783,Vocal,incomplete
433,416c,"Warnung(""Männer suchen stets zu naschen"")",v orch,F major,1783,Vocal,incomplete
446,416d,Musik zu einer Pantomime,str,,1783,Stage,incomplete
398,416e,"Variations (5) on ""Salve tu Domine""",pf,,1783,Keyboard,
293,416f,Oboe Concerto,ob orch,F major,1783,Orchestral,incomplete
417,417,Horn Concerto,hn orch,E♭major,1783,Orchestral,
427,417a,"Mass(""No.17"" or ""Great"")",vv ch orch,C minor,1783,Choral,incomplete
421,417b,String Quartet No.15,2vn va vc,D minor,1783,Chamber,
178,417e,"Ah, spiegarti, oh Dio",v pf,A major,1783,Vocal,
418,418,"Vorrei spiegarvi, oh Dio",v orch,A major,1783,Vocal,
419,419,"No, no, che non sei capace",v orch,C major,1783,Vocal,
420,420,"Per pietà, non ricercate",v orch,E♭major,1783,Vocal,
432,421a,"Così dunque tradisci(""Aspri rimorsi atroci"")",v orch,F minor,1783?,Vocal,
428,421b,String Quartet No.16,2vn va vc,E♭major,1783,Chamber,
422,422,"L'oca del Cairo(""The Goose of Cairo"")",vv ch orch,,1784,Stage,incomplete
423,423,Duo,vn va,G major,1783,Chamber,
424,424,Duo,vn va,B♭major,1783,Chamber,
430,424a,Lo sposo deluso,vv ch orch,,1784,Stage,incomplete
425,425,"Symphony No.36(""Linz"")",orch,C major,1783,Orchestral,
444,425a,Symphony No.37,orch,G major,1784,Orchestral,introduction to a symphony byMichael Haydn
431,425b,"Misero! o sogno!(""Aura, che intorno spiri"")",v orch,E♭major,1783,Vocal,
426,426,Fugue,2pf,C minor,1783,Keyboard,
Anh.44,426a,Allegro,2pf,C minor,1785–86,Keyboard,incomplete
436,436,"Ecco quel fiero istante(""La partenza"")",3vv 3bsthn,F major,1787?,Vocal,
437,437,Mi lagnerò tacendo,3vv 2cl/2bsthn,G major,1783,Vocal,
438,438,"Se lontan ben mio, tu sei",3vv 2cl/2bsthn,E♭major,1783,Vocal,
439,439,Due pupille amabili,3vv 3bsthn,F major,1783,Vocal,
346,439a,"Luci care, luci belle",3vv 3bsthn,F major,1783,Vocal,
Anh.229,439b,Divertimentos (5),3bsthn,B♭major,1783,Chamber,
441,441,"Das Bandel(""Liebes Mandel, wo is's Bandel?"")",3vv orch,G major,1783?,Vocal,
442,442,Piano Trio,vn vc pf,D major,1785–87?,Chamber,incomplete
447,447,Horn Concerto,hn orch,E♭major,1787,Orchestral,
461,448a,Minuets (6),orch,,1784,Orchestral,
462,448b,Country Dances (6),orch,,1784,Orchestral,
463,448c,Minuets (2)(Country Dances),orch,,1784,Orchestral,
449,449,Piano Concerto No.14,pf orch,E♭major,1782–84,Orchestral,
450,450,Piano Concerto No.15,pf orch,B♭major,1784,Orchestral,
451,451,Piano Concerto No.16,pf orch,D major,1784,Orchestral,
452,452,Quintet,ob cl bn hn pf,E♭major,1784,Chamber,
Anh.54,452a,Quintet,ob cl bn hn pf,E♭major,1784,Chamber,incomplete
453,453,Piano Concerto No.17,pf orch,G major,1784,Orchestral,
—,453a,"Kleiner Trauermarsch(""Little Funeral March"")",pf,C minor,1784,Keyboard,
454,454,"Violin Sonata(""No.32"")",vn pf,B♭major,1784,Chamber,
Anh.163,—,3 String Trios,vn va vc,E♭major,—,Chamber,"Arranged from K.454, K.481 and K.533. Not composed by Mozart."
460,454a,"Variations (8) on ""Come un agnello""",pf,A major,1784,Keyboard,
455,455,"Variations (10) on ""Unser dummer Pöbel meint""",pf,G major,1784,Keyboard,
456,456,Piano Concerto No.18,pf orch,B♭major,1784,Orchestral,
457,457,Piano Sonata No.14,pf,C minor,1784,Keyboard,
458,458,"String Quartet No.17(""Hunt"")",2vn va vc,B♭major,1784,Chamber,
459,459,Piano Concerto No.19,pf orch,F major,1784,Orchestral,
464,464,String Quartet No.18,2vn va vc,A major,1785,Chamber,
Anh.72,464a,String Quartet,2vn va vc,A major,1785,Chamber,incomplete
465,465,"String Quartet(""Dissonant"")",2vn va vc,C major,1785,Chamber,
466,466,Piano Concerto No.20,pf orch,D minor,1785,Orchestral,
467,467,Piano Concerto No.21,pf orch,C major,1785,Orchestral,
468,468,"Gesellenreise(""Die ihr einem neuen Grad"")",v pf,B♭major,1785,Vocal,
429,468a,"Dir, Seele des Weltfalls",v mch orch,E♭major,1791,Choral,incomplete
469,469,Davidde penitente,3vv ch orch,C minor,1785,Choral,
—,470a,Violin Concerto No.16,vn orch,E minor,1785,Orchestral,re-orchestration of a work byGiovanni Battista Viotti
471,471,Die Mauererfreude,ten mch orch,E♭major,1785,Choral,
472,472,Der Zauberer,v pf,G minor,1785,Vocal,
473,473,Die Zufriedenheit,v pf,B♭major,1785,Vocal,
474,474,Die betrogene Welt,v pf,G major,1785,Vocal,
475,475,Fantasia,pf,C minor,1785,Keyboard,
Anh.26,475a,"Einsam bin ich, meine Liebe",v pf,D minor,1785,Vocal,incomplete
476,476,Das Veilchen,v pf,G major,1785,Vocal,
478,478,"Piano Quartet(""No.1"")",vn va vc pf,G minor,1785,Chamber,
479,479,"Dite almeno, in che mancai",4vv orch,E♭major,1785,Vocal,
477,479a,"Maurerische Trauermusik(""Masonic Funeral Music"")",orch,C minor,1785,Orchestral,
480,480,Mandina amabile,3vv orch,A major,1785,Vocal,
434,480b,Del gran regno delle amazoni,3vv orch,B♭major,1785–86,Vocal,
481,481,"Violin Sonata(""No.33"")",vn pf,E♭major,1785,Chamber,
482,482,Piano Concerto No.22,pf orch,E♭major,1785,Orchestral,
483,483,"Zerfliesset heut', geliebte Brüder",v mch pf,B♭major,1785,Choral,
484,484,Ihr unsre neuen Leiter,v mch pf,G major,1785,Choral,
411,484a,Adagio,2cl 3bsthn,B♭major,1783–84,Chamber,
Anh.95,484b,Allegro assai,2cl 3bsthn,B♭major,1786?,Chamber,incomplete
Anh.93,484c,Adagio,cl 3bsthn,F major,1787–89?,Chamber,incomplete
410,484d,Adagio,2bsthn bn,F major,1785?,Chamber,
485,485,"Rondo(""No.1"")",pf,D major,1786,Keyboard,
486,486,Der Schauspieldirektor,vv orch,,1786,Stage,
486a,295a,"Basta, vincesti",v orch,E♭major,1778,Vocal,
488,488,Piano Concerto No.23,pf orch,A major,1784–86?,Orchestral,
489,489,Spiegarti non poss'io,2vv orch,B♭major,1786,Vocal,
490,490,"Non più, tutti ascoltai",v orch,B♭major,1786,Vocal,
491,491,Piano Concerto No.24,pf orch,C minor,1786,Orchestral,
492,492,"Le nozze di Figaro(""The Marriage of Figaro"")",vv ch orch,,1786,Stage,
493,493,"Piano Quartet(""No.2"")",vn va vc pf,E♭major,1786,Chamber,
494,494,"Rondo(""No.2"")",pf,F major,1786,Keyboard,revised in K.533
—,494a,Horn Concerto,hn orch,E major,1786,Orchestral,incomplete
495,495,Horn Concerto,hn orch,E♭major,1786,Orchestral,
496,496,"Piano Trio(""No.2"")",vn vc pf,G major,1786,Chamber,
487,496a,Horn Duos (12),2bsthn,,1786,Chamber,
497,497,Sonata,pf4h,F major,1786,Keyboard,
357,497a,Sonata,pf4h,G major,1787?,Keyboard,incomplete
498,498,"Trio(""Kegelstatt"")",cl va pf,E♭major,1786,Chamber,
499,499,"String Quartet(""Hoffmeister"")",2vn va vc,D major,1786,Chamber,
500,500,Variations (12),pf,B♭major,1786,Keyboard,
357,500a,Variations,pf4h,G major,1791,Keyboard,incomplete
501,501,Variations (5),pf4h,G major,1786,Keyboard,
502,502,"Piano Trio(""No.3"")",vn vc pf,B♭major,1786,Chamber,
Anh.60,502a,Piano Concerto,pf orch,C major,1784–85,Orchestral,incomplete
503,503,Piano Concerto No.25,pf orch,C major,1784–86,Orchestral,
504,504,"Symphony No.38(""Prague"")",orch,D major,1786,Orchestral,
505,505,"Ch'io mi scordi di te?(""Non temer, amato bene"")",v orch,E♭major,1786,Vocal,
506,506,"Lied der Freiheit(""Wer unter eines Mädchens Hand"")",v pf,F major,1786,Vocal,
507,507,"Canon(""Heiterkeit und leichtes"")",3vv,F major,1786,Vocal,
508,508,"Canon(""Auf das Wohl aller Freunde"")",3vv,F major,1786,Vocal,
—,508a,Canons for 2 or 3 Voices (8),2vv/3vv,,1786,Vocal,
509,509,German Dances (6),orch,,1787,Orchestral,
232,509a,"Canon(""Lieber Freistädtler, lieber Gaulimauli"")",4vv,G major,1787,Vocal,
511,511,"Rondo(""No.3"")",pf,A minor,1787,Keyboard,
512,512,"Alcandro, Io confesso(""Non só d'onde viene"")",v orch,F major,1787,Vocal,
513,513,"Mentre ti lascio, o figlia",v orch,E♭major,1787,Vocal,
Anh.80,514a,String Quintet,2vn 2va vc,B♭major,1787,Chamber,incomplete
515,515,String Quintet No.3,2vn 2va vc,C major,1787,Chamber,
228,515b,Double Canon for 4 Voices,4vv,F major,1787,Vocal,
Anh.70,515c,String Quintet,2vn 2va vc,G minor,1787,Chamber,incomplete
516,516,String Quintet No.4,2vn 2va vc,G minor,1787,Chamber,
406,516b,String Quintet No.2,2vn 2va vc,C minor,1787–88?,Chamber,
Anh.91,516c,Clarinet Quintet,cl 2vn va vc,B♭major,1788–91?,Chamber,incomplete
—,516f,"Musikalische Würfelspiel(""Musical Dice Game"")",,C major,1787,Chamber,
517,517,"Die Alte(""Zu meiner Zeit"")",v pf,E minor,1787,Vocal,
518,518,"Die Verschweigung(""Sobald Damötas Chloen sieht"")",v pf,F major,1787,Vocal,
519,519,"Das Lied der Trennung(""Die Engel Gottes weinen"")",v pf,F minor,1787,Vocal,
520,520,"Als Luise die Briefe(""Erzeugt von heisser Phantasie"")",v pf,C minor,1787,Vocal,
521,521,Piano Sonata,pf4h,C major,1787,Keyboard,
522,522,"Ein musikalischer Spaß(""A Musical Joke"")",orch,F major,1785–87?,Orchestral,
523,523,"Abendempfindung(""Abend ist's"")",v pf,F major,1787,Vocal,
524,524,"An Chloe(""Wenn die Lieb'"")",v pf,E♭major,1787,Vocal,
525,525,"Eine kleine Nachtmusik(""Serenade No.13"")",str,G major,1787,Orchestral,
526,526,"Violin Sonata(""No.35"")",vn pf,A major,1787,Chamber,
527,527,Don Giovanni,vv ch orch,,1787,Stage,
528,528,"Bella mia fiamma(""Resta, o cara!"")",v orch,C major,1787,Vocal,
529,529,"Des kleinen Friedrichs Geburtstag(""Es war einmal"")",v pf,F major,1787,Vocal,
530,530,"Das Traumbild(""Wo bist du, Bild"")",v pf,E♭major,1787,Vocal,
531,531,"Die kleine Spinnerin(""Was spinnst du?"")",v pf,C major,1787,Vocal,
532,532,Grazie agl'inganni tuoi,3vv orch,B♭major,1784–85,Vocal,incomplete
533,533,Piano Sonata No.15,pf,F major,1788,Keyboard,includes 2nd version of K.494
534,534,"Country Dance(""Das Donnerwetter"" or ""The Thunderstorm"")",orch,D major,1788,Orchestral,
535,535,"Country Dance(""La Bataille"")",orch,C major,1788,Orchestral,
—,535a,Country Dances (3),orch,,1788,Orchestral,
Anh.107,535b,Country Dance,orch,B♭major,1788,Orchestral,incomplete
536,536,German Dances (6),orch,,1788,Orchestral,
537,537,"Piano Concerto No.26(""Coronation"")",pf orch,D major,1787–88,Orchestral,
—,537d,"Ich folge dir, verklärter Held",v orch,D major,1788,Vocal,re-orchestration of a work byCarl Philipp Emanuel Bach
538,538,Ah se in ciel,v orch,F major,1788,Vocal,
539,539,"Ein deutsches Kriegslied(""Ich möchte wohl der Kaiser sein"")",v pf,A major,1788,Vocal,
540,540,Adagio,pf,B minor,1788,Keyboard,
—,540a,Dalla sua pace,v orch,G major,1788,Vocal,
—,540b,Per queste tue manine,2vv orch,C major,1788,Vocal,
—,540c,In quali eccesi,v orch,E♭major,1788,Vocal,
541,541,Un bacio di mano,v orch,F major,1788,Vocal,
542,542,"Piano Trio(""No.4"")",vn vc pf,E major,1788,Chamber,
543,543,Symphony No.39,orch,E♭major,1788,Orchestral,
545,545,"Piano Sonata No.16(""Semplice"")",pf,C major,1788,Keyboard,
546,546,Adagio and Fugue,2vn va vc,C minor,1788,Chamber,
Anh.47,546a,Violin Sonata,vn pf,G major,1788–91?,Chamber,incomplete
547,547,"Violin Sonata(""No.32"" or ""For Beginners "")",vn pf,F major,1788,Chamber,
Anh.135,547a,Piano Sonata,pf,F major,1788,Keyboard,Sometimes catalogued as K.627
54,547b,Variations(6),pf,F major,1788,Keyboard,
548,548,"Piano Trio(""No.5"")",vn vc pf,C major,1788,Chamber,
549,549,Piú non si trovano,2sop bass 3bsthn,B♭major,1788,Vocal,
550,550,Symphony No.40,orch,G minor,1788,Orchestral,
551,551,"Symphony No.41(""Jupiter"")",orch,C major,1788,Orchestral,
552,552,Beim Auszug in das Feld,v pf,A major,1788,Vocal,
553,553,"Canon(""Alleluia"")",3vv,C major,1788,Vocal,
554,554,"Canon(""Ave Maria"")",4vv,F major,1788,Vocal,
555,555,"Canon(""Lacrimoso son'io"")",4vv,A minor,1788,Vocal,
556,556,"Canon(""G'rechtelt's enk"")",4vv,G major,1788,Vocal,
557,557,"Canon(""Nascoso è il mio sol"")",4vv,F minor,1788,Vocal,
558,558,"Canon(""Gehn wir im Prater"")",4vv,B♭major,1788,Vocal,
559,559,"Canon(""Difficile lectu mihi mars"")",3vv,F major,1788,Vocal,
—,559a,"Canon(""O du eselhafter Peierl"")",4vv,F major,1785,Vocal,
560,560,"Canon(""O du eselhafter Martin"")",4vv,F major,1783?,Vocal,
561,561,"Canon(""Bona nox, bist a rechta Ox"")",4vv,A major,1788,Vocal,
562,562,"Canon(""Caro bell' idol mio"")",3vv,A major,1788,Vocal,
—,562a,Canon,4vv,B♭major,1785?,Vocal,
Anh.191,562c,Canon,4vv,C major,1782,Vocal,
Anh.66,562e,String Trio,vn va vc,G major,1789–91?,Chamber,incomplete
563,563,Divertimento,vn va vc,E♭major,1788,Chamber,
564,564,"Piano Trio(""No.6"")",vn vc pf,G major,1788,Chamber,
566,566,Acis und Galathea,vv ch orch,,1788,Choral,re-orchestration of a work byGeorge Frideric Handel
567,567,German Dances (6),orch,,1788,Orchestral,
568,568,Minuets (12),orch,,1788,Orchestral,
Anh.31,569a,Piano Sonata,pf,B♭major,1789,Keyboard,incomplete
570,570,Piano Sonata,pf,B♭major,1789,Keyboard,
571,571,German Dances (6),orch,,1789,Orchestral,
Anh.5,571a,"Caro mio Druck und Schluck(""Scherzhaftes"")",4vv pf,E♭major,1789,Vocal,
572,572,Messiah,5vv ch orch,,1789,Choral,re-orchestration of a work byGeorge Frideric Handel
573,573,Variations (9) on a Minuet by Duport,pf,D major,1789,Keyboard,
574,574,"Gigue(""Eine kleine Gigue"")",pf,G major,1789,Keyboard,
575,575,"String Quartet No.21(""First Prussian Quartet"")",2vn va vc,D major,1789,Chamber,
576,576,Piano Sonata No.18,pf,D major,1789,Keyboard,
Anh.34,576a,Minuet,pf,D major,1789,Keyboard,incomplete
355,576b,Minuet,pf,D major,1789,Keyboard,
577,577,"Al desio, di chi t'adora",v orch,F major,1789,Vocal,
578,578,Alma grande e nobil core,v orch,B♭major,1789,Vocal,
579,579,Un moto di gioia mi sento,v orch,G major,1789,Vocal,
580,580,Schon lacht der holde Frühling,v orch,B♭major,1789,Vocal,
Anh.94,580a,Adagio,eh bn 2hn,C major,1783–85?,Chamber,incomplete
Anh.90,580b,Quintet,cl bsthn vn va vc,F major,1789?,Chamber,incomplete
581,581,Clarinet Quintet,cl 2vn va vc,A major,1789,Chamber,
Anh.88,581a,Clarinet Quintet,cl 2vn va vc,A major,1789,Chamber,incomplete
582,582,"Chi sà, chi sà, qual sia",v orch,C major,1789,Vocal,
583,583,"Vado, ma dove?",v orch,E♭major,1789,Vocal,
584,584,Rivolgete a lui lo sguardo,v orch,D major,1789,Vocal,
585,585,Minuets (12),orch,,1789,Orchestral,
586,586,German Dances (12),orch,,1789,Orchestral,
587,587,"Country Dance(""Der Sieg vom Helden Koburg"")",orch,C major,1789,Orchestral,
Anh.74,587a,String Quartet,2vn va vc,G minor,1789,Chamber,incomplete
588,588,Così fan tutte,vv ch orch,,1790,Stage,
106,588a,Overture and 3 Country Dances,orch,,1790,Orchestral,
236,588b,Andantino,pf,E♭major,1783,Keyboard,
589,589,"String Quartet No.22(""Second Prussian Quartet"")",2vn va vc,B♭major,1790,Chamber,
Anh.68,589a,Allegretto,2vn va vc,B♭major,1790,Chamber,incomplete
590,590,"String Quartet No.23(""Third Prussian Quartet"")",2vn va vc,F major,1790,Chamber,
Anh.29,590a,Piano Sonata,Piano,F major,1789,Keyboard,incomplete
Anh.30,590b,Piano Sonata,Piano,F major,1789,Keyboard,incomplete
Anh.37,590c,Rondo,Piano,F major,1789,Keyboard,incomplete
312,590d,Allegro,pf,G minor,1790,Keyboard,incomplete
591,591,Alexander's Feast,vv ch orch,,1790,Choral,re-orchestration of a work byGeorge Frideric Handel
592,592,Ode for St. Cecilia's Day,2vv ch orch,,1790,Choral,re-orchestration of a work byGeorge Frideric Handel
625,592a,"Nun liebes Weibchen, ziehst mit mir",2vv orch,D major,1790,Vocal,
593,593,String Quintet No.5,2vn 2va vc,D major,1790,Chamber,
Anh.35,593a,Adagio,morg,D minor,1790,Keyboard,incomplete
594,594,Adagio and Allegro,morg,F minor,1790,Keyboard,
595,595,Piano Concerto No.27,pf orch,B♭major,1791,Orchestral,
596,596,"Sehnsucht nach dem Frühling(""Komm, lieber Mai"")",v pf,F major,1791,Vocal,
597,597,Im Frühlingsanfang,v pf,E♭major,1791,Vocal,
598,598,Das Kinderspiel,v pf,A major,1791,Vocal,
599,599,Minuets (6),orch,,1791,Orchestral,
600,600,German Dances (6),orch,,1791,Orchestral,
601,601,Minuets (4),orch,,1791,Orchestral,
602,602,German Dances (4),orch,,1791,Orchestral,
603,603,Country Dances (2),orch,,1791,Orchestral,
604,604,Minuets (2),orch,,1791,Orchestral,
605,605,German Dances (3),orch,,1791,Orchestral,
607,605a,"Country Dance(""Il Trionfo delle Donne"")",orch,E♭major,1791,Orchestral,
606,606,"Ländlerische Tänze (6)(""German Dances"")",orch,,1791,Orchestral,
608,608,Fantasia,morg,F minor,1791,Keyboard,
609,609,Country Dances (5),orch,,1787,Orchestral,
610,610,"Country Dance(""Les filles malicieuses"")",orch,G major,1791,Orchestral,
611,611,"German Dance(""Die Leyerer"")",orch,C major,1791,Orchestral,
612,612,Per questa bella mano,v orch,D major,1791,Vocal,
613,613,"Variations (8) on ""Ein Weib ist das herrlichste Ding""",pf,F major,1791,Keyboard,
Anh.81,613a,String Quintet,2vn 2va vc,E♭major,1784–85,Chamber,incomplete
Anh.82,613b,String Quintet,2vn 2va vc,E♭major,1791?,Chamber,incomplete
614,614,String Quintet No.6,2vn 2va vc,E♭major,1791,Chamber,
616,616,Andante,morg,F major,1790–91,Keyboard,
617,617,Adagio and Rondo,fl ob ghca va vc,C minor,1791,Chamber,
356,617a,Adagio,ghca,C major,1791,Chamber,
618,618,Ave verum corpus,ch org str,D major,1791,Choral,
619,619,"Die ihr des unermesslichen Weltalls(""Little German cantata"")",v pf,C major,1791,Vocal,
620,620,"Die Zauberflöte(""The Magic Flute"")",vv ch orch,,1791,Stage,
Anh.78,620b,Contrapuntal Study,pf,B minor,1782?,Keyboard,
621,621,La clemenza di Tito,vv ch orch,,1791,Stage,
Anh.245,621a,"Io ti lascio, o cara, addio",v orch,E♭major,1787–89,Vocal,
—,621b,Basset Horn Concerto,bsthn orch,G major,1787–91,Orchestral,incomplete
622,622,Clarinet Concerto,cl orch,A major,1791,Orchestral,
623,623,"Laut verkünde unsre Freude(""Freimaurerkantate"")",mch,C major,1791,Choral,
—,623a,"Bundeslied(""Lasst uns mit geschlungnen Händen"")",v mch pf,F major,1791,Choral,
626,626,Requiem,vv ch orch,D minor,1791,Choral,
624,626a,Cadenzas (36),pf,,1777–91,Keyboard,
—,626b,Fingerübungen,pf,,1786-90?,Keyboard,
Anh.39a,626n/27,Fugue,pf,C minor,1781–84?,Keyboard,incomplete
221,Anh.A1,Kyrie,ch bc,C major,—,Choral,spurious (byJohann Ernst Eberlin)
Anh.21,Anh.A2,Lacrimosa,ch bc,C minor,—,Choral,spurious (byJohann Ernst Eberlin)
327,Anh.A 10,Adoramus te,ch bc,C minor,—,Choral,spurious (byFrancesco Gasparini)
93,Anh.A 22,De profundis clamavi,ch org,C major,—,Choral,spurious (byGeorg Reutter)
18,Anh.A 51,Symphony No.3,orch,E♭major,—,Orchestral,spurious (byCarl Friedrich Abel)
291,Anh.A 52,Fugue,orch,D major,—,Orchestral,spurious (byMichael Haydn)
140,Anh.C1.12,Missa brevis,4vv orch,G major,1770?,Vocal,Mozart's authorship doubtful
142,Anh.C3.04,Tantum ergo,ch orch,B♭major,1772–74?,Choral,Mozart's authorship doubtful
197,Anh.C3.05,Tantum ergo,ch orch,D major,1772–74?,Choral,Mozart's authorship doubtful
198,Anh.C3.08,Sub tuum praesidium,2vv orch,F major,1774?,Vocal,Mozart's authorship doubtful
177,Anh.C3.09,Convertentur sedentes,2vv orch,,—,Vocal,spurious (byLeopold Mozart)
—,Anh.C3.15,Sancta Maria,sop/ten org/harm,G major,—,Vocal,spurious (composer unknown)
350,Anh.C8.48,"Wiegenlied(""Schlafe mein Prinzchen"")",v pf,,—,Vocal,spurious (byBernhard Flies)
17,Anh.C 11.02,Symphony No.2,orch,B♭major,—,Orchestral,spurious (byLeopold Mozart)
98,Anh.C 11.04,Symphony F major,orch,F major,—,Orchestral,doubtful
510,Anh.C 13.02,"Country Dances (9)(""Quadrilles"")",orch,,1787?,Orchestral,Mozart's authorship doubtful
297b,Anh.C 14.01,Sinfonia concertante,ob cl bn hn orch,E♭major,1778?,Orchestral,Mozart's authorship doubtful
297b,Anh.C 14.06,Oboe Concerto in E-flat major,ob cl bn hn orch,E♭major,?,Orchestral,Mozart's authorship doubtful
187,Anh.C 17.12,"Divertimento(""No.5"")",2fl 5tpt timp,C major,—,Chamber,spurious (composer unknown)
268,Anh.C 14.04,Violin Concerto,vn orch,E♭major,1790?,Orchestral,Mozart's authorship doubtful
55,Anh.C 23.01,Violin Sonata,vn pf,C major,—,Chamber,spurious (composer unknown)
56,Anh.C 23.02,Violin Sonata,vn pf,C major,—,Chamber,spurious (composer unknown)
57,Anh.C 23.03,Violin Sonata,vn pf,C major,—,Chamber,spurious (composer unknown)
58,Anh.C 23.04,Violin Sonata,vn pf,E♭major,—,Chamber,spurious (composer unknown)
59,Anh.C 23.05,Violin Sonata,vn pf,C major,—,Chamber,spurious (composer unknown)
60,Anh.C 23.06,Violin Sonata,vn pf,E minor,—,Chamber,spurious (composer unknown)
